00000,150.0000,150.0000,1;13-MAR-2000
99999,144.9100,145.5500,1;STS
99999,144.4900,145.5500,1;STS
99999,144.4500,145.8400,1;STS
99999,139.2080,121.7500,1;STS
99999,296.8000,296.8000,1;STS
99999,279.0000,279.0000,1;STS
99999,259.7000,259.7000,1;STS
99999,000.0000,2217.500,1;STS
99999,000.0000,2250.000,1;STS
99999,000.0000,2287.500,1;STS
99990,130.1620,121.7500,1;SOYUZTM
99990,143.6250,143.6250,1;SOYUZTM
99990,000.0000,166.0000,1;SOYUZTM
99990,000.0000,922.7500,1;SOYUZTM
99990,000.0000,926.1000,1;SOYUZTM
99951,000.0000,437.1000,1;ARTEMIS
99950,145.8400,436.6250,1;STENSAT
99900,000.0000,150.3000,1;COS2349
99900,000.0000,400.8000,1;COS2349
26102,000.0000,401.5650,1:MTI
26067,000.0000,166.0000,1;PROGRESSM1-1
26067,000.0000,922.7500,1;PROGRESSM1-1
26065,145.8600,437.0700,1;JAWSAT
26065,145.8600,437.1750,1;JAWSAT
26065,145.8600,2403.200,1;JAWSAT
26064,000.0000,400.4700,1;FALCONSAT
26062,000.0000,437.1000,1;OPAL
26061,145.8200,436.5000,1;ASUSAT
26061,145.8200,436.7000,1;ASUSAT
25991,000.0000,400.3275,1;DMSP-5D3
25991,000.0000,400.8225,1;DMSP-5D3
25986,000.0000,150.0000,1;ORBCOMMD6
25985,000.0000,150.0000,1;ORBCOMMD7
25984,000.0000,150.0000,1;ORBCOMMD8
25983,000.0000,150.0000,1;ORBCOMMD5
25982,000.0000,150.0000,1;ORBCOMMD4
25981,000.0000,150.0000,1;ORBCOMMD3
25980,000.0000,150.0000,1;ORBCOMMD2
25940,000.0000,180.0100,1;CBERS-1
25940,000.0000,401.6300,1;CBERS-1
25940,000.0000,462.5000,1;CBERS-1
25933,000.0000,1227.600,1;NAVSTARB1-2R
25933,000.0000,1381.050,1;NAVSTARB1-2R
25892,000.0000,149.9400,1;COS2366
25892,000.0000,399.8400,1;COS2366
25736,000.0000,401.5000,1;MUBLCOM
25735,000.0000,150.0000,1;TERRIERS
25735,000.0000,400.0000,1;TERRIERS
25730,000.0000,180.0080,1;FENGYUN-1C
25730,000.0000,480.0200,1;FENGYUN-1C
25730,000.0000,1700.500,1;FENGYUN-1C
25730,000.0000,1704.500,1;FENGYUN-1C
25722,000.0000,137.9350,1;MEGSAT
25694,000.0000,437.4000,1;UO-36/UOSAT-12
25694,000.0000,437.0250,1;UO-36/UOSAT-12
25664,000.0000,922.7550,1;PROGRESSM-41
25664,000.0000,166.0000,1;PROGRESSM-41
25664,000.0000,165.0000,1;PROGRESSM-41
25636,436.2910,145.8250,1;S0-35/SUNSAT
25636,000.0000,436.2500,1;SO-35/SUNSAT
25636,145.9000,436.2500,1;SO-35/SUNSAT
25590,000.0000,150.0300,1;COS2361
25590,000.0000,400.0800,1;COS2361
25567,000.0000,150.0000,1;NEDEZHDA5
25567,000.0000,400.0000,1;NEDEZHDA5
25544,000.0000,632.0000,1;ISS
25544,000.0000,634.0000,1;ISS
25544,000.0000,2287.500,1;ISS
25544,145.9900,145.800,1;ISS
25509,000.0000,437.9100,1;SO-33
25482,000.0000,137.6625,1;ORBCOMMC8
25481,000.0000,137.2500,1;ORBCOMMC7
25480,000.0000,137.6625,1;ORBCOMMC6
25479,000.0000,137.2500,1;ORBCOMMC5
25478,000.0000,137.2500,1;ORBCOMMC4
25477,000.0000,137.6625,1;ORBCOMMC3
25476,000.0000,137.2500,1;ORBCOMMC2
25475,000.0000,137.2500,1;ORBCOMMC1
25420,000.0000,137.8000,1;ORBCOMMB1
25419,000.0000,137.7375,1:ORBCOMMB2
25418,000.0000,137.7375,1;ORBCOMMB3
25417,000.0000,137.8000,1;ORBCOMMB4
25416,000.0000,137.7375,1;ORBCOMMB8
25415,000.0000,137.7375,1;ORBCOMMB7
25414,000.0000,137.7375,1;ORBCOMMB6
25413,000.0000,137.8000,1;ORBCOMMB5
25397,000.0000,435.3250,1;GO-32
25397,000.0000,435.2250,1;GO-32
25396,000.0000,436.9230,1;TO-31
25396,000.0000,436.9250,1;TO-31
25394,000.0000,137.8500,1;RESURS01-N4
25390,000.0000,143.0750,1;TUBSAT-N1
25338,148.5600,137.5000,1;NOAA-15
25338,148.5600,137.3500,1;NOAA-15
25338,148.5600,1698.000,1;NOAA-15
25159,000.0000,137.6875,1;ORBCOMMG2
25158,000.0000,137.6875,1;ORBCOMMG1
25157,000.0000,150.0150,1;GEOSATF0
25123,000.0000,401.5000,1;EARLYBIRD
25119,000.0000,137.4400,1;ORBCOMMA3
25118,000.0000,137.7175,1;ORBCOMMA2
25117,000.0000,137.7175,1;ORBCOMMA1
25116,000.0000,137.7175,1;ORBCOMMA5
25115,000.0000,137.6625,1;ORBCOMMA8
25114,000.0000,137.4400,1;ORBCOMMA7
25113,000.0000,137.7175,1;ORBCOMMA6
25112,000.0000,137.7175,1;ORBCOMMA4
25030,000.0000,1227.600,1;NAVSTAR-44
25030,000.0000,1381.050,1;NAVSTAR-44
24954,000.0000,400.5500,1;FAISAT-2V
24954,000.0000,400.6200,1;FAISAT-2V
24953,000.0000,150.0300,1;COS2346
24953,000.0000,400.0800,1;COS2346
24920,000.0000,401.5650,1;FORTE
24786,000.0000,468.8250,1;GOES-10
24772,000.0000,149.9100,1;COS2341
24772,000.0000,399.7600,1;COS2341
24744,000.0000,435.5480,1;RS16
24744,000.0000,435.5040,1;RS16
24744,000.0000,029.4080,1;RS16
24677,000.0000,149.9700,1;COS2336
24677,000.0000,399.9200,1;COS2336
24645,000.0000,137.9600,1;SAC-B/HETE
24320,000.0000,1227.600,1;NAVSTAR-39
24320,000.0000,1381.050,1;NAVSTAR-39
24305,000.0000,437.2060,1;MO-30
24304,000.0000,150.0300,1;COS2334
24304,000.0000,400.0800,1;COS2334
24293,000.0000,137.9500,1;MU-SAT
24293,000.0000,400.9500,1;MU-SAT
24292,000.0000,136.0700,1;MAGION-5
24292,000.0000,137.1500,1;MAGION-5
24292,000.0000,400.2400,1;MAGION-5
24292,000.0000,400.5700,1;MAGION-5
24291,000.0000,137.9500,1;MICROSAT
24291,000.0000,400.9500,1;MICROSAT
24278,435.9100,435.9100,1;FO-29
24278,145.950,435.8500,-1;FO-29
24278,145.9100,435.9100,1;FO-29
24278,145.8900,435.9100,1;FO-29
24278,145.8700,435.9100,1;FO-29
24278,145.8500,435.9100,1;FO-29
24277,000.0000,467.7000,1;ADEOS
23953,000.0000,1227.600,1;NAVSTAR-38
23953,000.0000,1575.420,1;NAVSTAR-38
23853,000.0000,149.9400,1;COS2332
23853,000.0000,399.8400,1;COS2332
23833,000.0000,1227.600,1;NAVSTAR-37
23833,000.0000,1575.420,1;NAVSTAR-37
23789,000.0000,387.0000,1;GONETSD-1
23789,000.0000,390.0000,1;GONETSD-1
23788,000.0000,387.0000,1;GONETSD-1
23788,000.0000,390.0000,1;GONETSD-1
23787,000.0000,387.0000,1;GONETSD-1
23787,000.0000,390.0000,1;GONETSD-1
23773,000.0000,149.9700,1;COS2327
23773,000.0000,399.9200,1;COS2327
23657,000.0000,137.4000,1;SICH1
23646,000.0000,136.0700,1;MAGION-4
23646,000.0000,400.5700,1;MAGION-4
23646,000.0000,400.9300,1;MAGION-4
23607,000.0000,137.9550,1;UPM/LBSAT-1
23606,000.0000,400.2000,1;CERISE
23603,000.0000,150.0000,1;COS2315
23603,000.0000,400.0000,1;COS2315
23579,000.0000,634.0000,1;SPEKTR
23547,000.0000,139.9500,1;MICROLAB-1
23546,000.0000,137.4600,1;ORBCOMMF2
23526,000.0000,150.0300,1;COS2310
23526,000.0000,400.0800,1;COS2310
23465,000.0000,400.6000,1;FAISAT
23464,000.0000,400.5500,1;ASTRID
23463,000.0000,150.0000,1;TSIKADA
23463,000.0000,400.0000,1;TSIKADA
23455,148.5600,137.6200,1;NOAA-14
23455,148.5600,137.7700,1;NOAA-14
23455,148.5600,1707.000,1;NOAA-14
